date,DJU
2019-01,404.9
2019-02,268.8
2019-03,234.3
2019-04,177.2
2019-05,126.8
2019-06,35.7
2019-07,10
2019-08,11.8
2019-09,45.3
2019-10,136.9
2019-11,282.6
2019-12,327.3
2018-01,303.4
2018-02,432.6
2018-03,314.4
2018-04,128.9
2018-05,74.1
2018-06,20.1
2018-07,1.6
2018-08,13.5
2018-09,53.7
2018-10,133.4
2018-11,282.8
2018-12,325.9
2017-01,467.9
2017-02,278.4
2017-03,208.9
2017-04,187.1
2017-05,87.8
2017-06,21.4
2017-07,13.5
2017-08,20.8
2017-09,74.5
2017-10,109.3
2017-11,282.6
2017-12,369
2016-01,364.4
2016-02,321.6
2016-03,321.1
2016-04,214.1
2016-05,100.7
2016-06,40.8
2016-07,14.7
2016-08,13.8
2016-09,27.3
2016-10,177.3
2016-11,285.6
2016-12,390.8
2015-01,392
2015-02,365.7
2015-03,275.7
2015-04,154.6
2015-05,104.8
2015-06,36.4
2015-07,15.8
2015-08,16.1
2015-09,81.8
2015-10,179.6
2015-11,196.9
2015-12,248.1
2014-01,324.4
2014-02,281.9
2014-03,226.6
2014-04,141.8
2014-05,112.5
2014-06,37.3
2014-07,17.7
2014-08,36.1
2014-09,34.4
2014-10,101.3
2014-11,223.3
2014-12,368.2
2013-01,429.2
2013-02,402.2
2013-03,376.6
2013-04,216.3
2013-05,161.5
2013-06,57.6
2013-07,9.3
2013-08,19.9
2013-09,55.3
2013-10,112
2013-11,303.9
2013-12,349.5
2012-01,336
2012-02,435.9
2012-03,210.5
2012-04,231.2
2012-05,93.8
2012-06,50.4
2012-07,29.8
2012-08,14.1
2012-09,72.6
2012-10,159.2
2012-11,296.2
2012-12,345.9
2011-01,392
2011-02,304.8
2011-03,245
2011-04,99.9
2011-05,68.2
2011-06,44.1
2011-07,37.3
2011-08,24.3
2011-09,37.4
2011-10,131.2
2011-11,226.6
2011-12,312.7
